voltage_xx,mean_force_xx,std_force_xx,calib_curve_xx,voltage_xy,mean_force_xy,std_force_xy,calib_curve_xy,voltage_yx,mean_force_yx,std_force_yx,calib_curve_yx,voltage_yy,mean_force_yy,std_force_yy,calib_curve_yy
1.0,2.551766001550605e-16,1.6136497869544064e-17,2.555037075481159e-16,1.0,3.0428195346942444e-16,1.9239263677480605e-17,3.140963667756341e-16,1.0,2.9837272702879263e-16,1.8868073605120817e-17,3.05152185928706e-16,1.0,2.342198286138766e-16,1.480934702113214e-17,2.369911269177805e-16
2.0,5.390188840188382e-16,3.408571580751785e-17,5.387201037560945e-16,2.0,5.858474560994344e-16,3.704220231979957e-17,5.34718325361326e-16,2.0,5.4909220367427045e-16,3.4722718185715306e-17,5.229902504326035e-16,2.0,4.888902966416568e-16,3.0911755426848517e-17,4.729197455978617e-16
3.0,8.288401919496779e-16,5.241302683498912e-17,8.219364999640731e-16,3.0,7.563945640060561e-16,4.782562454065417e-17,7.553402839470179e-16,3.0,7.576696284920158e-16,4.791244314153543e-17,7.408283149365011e-16,3.0,7.192292348534119e-16,4.5475719923981174e-17,7.088483642779429e-16
4.0,1.1014047510144493e-15,6.964907992131945e-17,1.1051528961720518e-15,4.0,9.518701580738176e-16,6.018523526978578e-17,9.759622425327099e-16,4.0,9.463187626712004e-16,5.984197096628092e-17,9.586663794403986e-16,4.0,9.126869153194309e-16,5.770774118742273e-17,9.447769829580242e-16
5.0,1.382701614825899e-15,8.743733417678263e-17,1.3883692923800303e-15,5.0,1.1715738148255913e-15,7.407674784540363e-17,1.1965842011184019e-15,5.0,1.1425989820525814e-15,7.225406259206744e-17,1.1765044439442961e-15,5.0,1.1837240391284756e-15,7.484498719196483e-17,1.1807056016381054e-15
