freq,psd_x,psd_y,psd_z
0.0,1.7359493176610472e-05,9.392031627983819e-06,7.422830896535419e-07
19.99866666666666,0.00013664240565337262,6.455401808513433e-05,5.443595312227482e-06
39.99733333333332,4.131371512058291e-05,3.092890024521859e-05,2.0580170423461775e-06
59.99599999999998,1.5629125825680742e-05,1.4834758400819449e-05,5.251846610420492e-07
79.99466666666665,8.243517568026366e-06,6.641700581282826e-06,2.470421941548937e-07
99.99333333333331,5.7222372886216245e-06,1.1218770520394632e-05,3.165395601535763e-07
119.99199999999996,1.0602846703637956e-05,5.7806778128441776e-05,1.5163489702899542e-06
139.99066666666664,5.404354941031519e-06,2.7080506746804768e-05,6.833906395424733e-07
159.9893333333333,1.9222958601034393e-06,2.109025904981602e-06,1.6346643405045135e-07
179.98799999999994,8.242674415970291e-06,2.827143038947487e-05,2.4534430549320575e-06
199.98666666666662,9.738773735488248e-06,3.449518870795738e-05,3.242792667526358e-06
219.98533333333327,8.575582538605707e-07,2.001409209070467e-06,2.536074320584558e-07
239.98399999999992,5.242421807728568e-07,6.922694475107781e-07,9.432965631470421e-08
259.9826666666666,5.748746058721482e-07,8.081444278935781e-07,1.076567368603297e-07
279.9813333333333,3.786747053462037e-06,2.1247294840978344e-06,8.508138104948087e-08
299.9799999999999,5.115949324305932e-06,2.747506463963193e-06,1.175846424555376e-07
319.9786666666666,1.1102932509489093e-06,1.7804495099895088e-06,1.1997487576499247e-07
339.97733333333326,1.0627057259980637e-06,8.387134345240136e-07,3.990986350222102e-08
359.9759999999999,3.729166240521983e-06,2.033897732380011e-06,7.065085832015339e-08
379.97466666666656,2.260533923312863e-06,5.607992304573996e-06,4.578885925321101e-07
399.97333333333324,1.0871947048059982e-06,4.701606059801914e-06,2.7166114663706763e-07
419.97199999999987,4.2141053357338497e-07,2.1078104150752167e-06,4.1422348500219956e-08
439.97066666666655,4.3635594226672556e-07,1.6012800408100657e-06,6.600844384665818e-08
459.9693333333332,4.2946384542475025e-06,2.1113044872200006e-06,1.8971886152748556e-07
479.96799999999985,6.078492110229797e-05,1.347840784877712e-05,1.0630211253236796e-06
499.9666666666665,5.36850591491071e-05,1.3421817804050066e-05,8.894883602943269e-07
519.9653333333332,1.2082678134403212e-05,4.9445000762017035e-05,9.477927894717446e-07
539.9639999999998,4.587867863060781e-06,2.1510707818211834e-05,4.5581534422035034e-07
559.9626666666666,1.2659911931797594e-06,7.701437864461851e-07,8.827749518690121e-08
579.9613333333332,6.215331920124536e-07,9.602429647817442e-07,1.267044616131449e-07
599.9599999999998,3.4336521741566913e-07,5.37521985003083e-07,5.020139967017145e-08
619.9586666666665,2.088168931690082e-07,3.823475437006332e-07,2.3552891275196863e-08
639.9573333333332,3.0363012383779345e-07,7.860204411336545e-07,3.602500979166831e-08
659.9559999999998,6.806059869129578e-07,1.1851616315678208e-06,4.678712022008044e-08
679.9546666666665,5.008324162175334e-07,1.0757479141851537e-06,3.017431143306021e-08
699.9533333333331,4.1839057315642024e-07,1.5056935130987373e-06,4.347642076258742e-08
719.9519999999998,2.703486177500597e-07,1.0405889485859708e-06,3.306668800849394e-08
739.9506666666665,1.8873261814875724e-07,9.410628506293681e-07,3.185797226054559e-08
759.9493333333331,1.53065291512295e-07,3.988734945136412e-07,3.329674852210205e-08
779.9479999999998,1.3216107680165414e-07,3.4234620149685653e-07,3.1306459306204554e-08
799.9466666666665,6.18331614631216e-08,1.6177932612689268e-07,1.0300609983991119e-08
819.9453333333331,4.681039558915515e-08,1.0342224994436778e-07,8.10646939872229e-09
839.9439999999997,5.6885860415766505e-08,1.1785262774168418e-07,1.0691810345481424e-08
859.9426666666665,5.872341304703782e-08,1.2761548869454475e-07,1.0585906456843484e-08
879.9413333333331,6.043704199087284e-08,1.1728062122002935e-07,7.845895248833591e-09
899.9399999999997,9.717218506111692e-08,2.1576820512647756e-07,8.956040258205391e-09
919.9386666666664,7.72093217687036e-08,2.7595695808672804e-07,1.1055008477966147e-08
939.9373333333331,7.266045175737578e-08,2.775906982676924e-07,1.3368707179511823e-08
959.9359999999997,1.314351797488358e-07,4.83197505434026e-07,2.529990330172547e-08
979.9346666666664,8.818118936022542e-08,3.452982093850451e-07,1.9331245650945917e-08
999.933333333333,3.559171456409774e-08,6.814078486167327e-08,6.048573167966969e-09
1019.9319999999998,3.749273270453973e-08,9.231622950157808e-08,6.0894221447057485e-09
1039.9306666666664,4.2112399502972934e-08,1.322462133558561e-07,6.902636088530224e-09
1059.929333333333,3.485076117500655e-08,1.1525138283789055e-07,6.124686844559081e-09
1079.9279999999997,2.7724614540969445e-08,6.766452093009186e-08,5.086412769006468e-09
1099.9266666666663,2.1691223883875605e-08,5.007688919019738e-08,5.007042125881116e-09
1119.9253333333331,2.915427508736703e-08,9.833458805803028e-08,7.023427574775241e-09
1139.9239999999998,3.469901965513896e-08,9.476683451257101e-08,8.329057602958577e-09
1159.9226666666664,3.297324371818986e-08,6.53530036983363e-08,7.564330354734422e-09
1179.921333333333,5.948110009278489e-08,4.911939276722152e-08,4.807627450207419e-09
1199.9199999999996,1.4067991186850606e-07,3.968425899785667e-08,6.301924803682195e-09
1219.9186666666662,1.2155792010903147e-07,4.972021547081651e-08,6.38745178152324e-09
1239.917333333333,3.6369975410162936e-08,4.5135273873391876e-08,5.043661757479414e-09
1259.9159999999997,2.7462855595885573e-08,6.304422734661857e-08,4.459640577625959e-09
1279.9146666666663,3.064239856839688e-08,7.016527192423236e-08,4.477459999561827e-09
1299.913333333333,2.8774879612431925e-08,5.048639143517383e-08,4.441640329936077e-09
1319.9119999999996,3.0747178570214336e-08,6.036150690901637e-08,5.036319731144727e-09
1339.9106666666664,5.3308876462778116e-08,6.151545477141416e-08,4.916743659568417e-09
1359.909333333333,4.59594211864413e-08,4.6021157936604914e-08,4.597787430655547e-09
1379.9079999999997,3.116345789214938e-08,3.5460477962786456e-08,3.705366093434043e-09
1399.9066666666663,2.0662625170666955e-08,3.9247952300070924e-08,2.93556966959585e-09
1419.905333333333,1.984402622784387e-08,4.2779341810318504e-08,3.048138234961457e-09
1439.9039999999995,2.0728974841791022e-08,3.406218148445292e-08,2.852239948121884e-09
1459.9026666666664,4.915272086543815e-08,3.04177704704369e-08,3.064173190584788e-09
1479.901333333333,4.190151304983173e-08,3.30918013215819e-08,3.176023055386715e-09
1499.8999999999996,2.8001384662060195e-08,5.039882703794773e-08,4.8217674505820055e-09
1519.8986666666663,2.2816808978708567e-08,4.1234909331760266e-08,4.15891412878772e-09
1539.8973333333329,2.5631560166736688e-08,6.056905085274098e-08,3.5723261108605276e-09
1559.8959999999995,2.0873045346305346e-08,6.13347810672515e-08,3.347919871784526e-09
1579.8946666666664,1.8051398211319982e-08,6.138799639496877e-08,3.0447965707317052e-09
1599.893333333333,1.4599205842813181e-08,2.2621163093893232e-08,2.2707469214091636e-09
1619.8919999999996,1.4980918967482552e-08,2.6713426913393716e-08,2.4821400887866762e-09
1639.8906666666662,1.3610827072828834e-08,2.2917264532333225e-08,2.0576763075378078e-09
1659.8893333333328,1.5556906632511168e-08,1.956806856640892e-08,2.119075602557505e-09
1679.8879999999995,2.0492783176002935e-08,2.0038241018383743e-08,2.0048398890959193e-09
1699.8866666666663,2.409859815380951e-08,2.448054844422235e-08,2.4377080975151226e-09
1719.885333333333,1.516069260806979e-08,2.170560797796958e-08,2.4488335008225554e-09
1739.8839999999996,1.4122655784963358e-08,2.1526076774793588e-08,2.0721585739453174e-09
1759.8826666666662,1.3972716104875433e-08,1.8299576040986646e-08,1.8357082571031566e-09
1779.8813333333328,1.3579287892482772e-08,1.4283802887215372e-08,1.6555312266145062e-09
1799.8799999999994,1.4255090521470232e-08,1.549609220680256e-08,1.5466676782347097e-09
1819.8786666666663,1.9074039800921832e-08,1.7231946861888358e-08,1.823701963988217e-09
1839.877333333333,1.7650178345582074e-08,1.753931227422061e-08,1.5948706671631464e-09
1859.8759999999995,1.7071589323252707e-08,1.4584365712188014e-08,1.596742271083551e-09
1879.8746666666661,1.297910689910848e-08,1.3372415382809919e-08,1.5089725828422115e-09
1899.8733333333328,1.3686139593465163e-08,1.340943526771021e-08,1.541802325470905e-09
1919.8719999999994,1.613809812452136e-08,1.801166351116722e-08,1.4882383522528538e-09
1939.8706666666662,1.2029932367184154e-08,1.5593241745013616e-08,1.354153721464025e-09
1959.8693333333329,8.47841436913997e-09,1.472711472645742e-08,1.4721150402330878e-09
1979.8679999999995,6.7726993192668155e-09,1.4893126146094685e-08,1.4344880251979601e-09
1999.866666666666,6.80059831531656e-09,1.4946273359942344e-08,1.3738541020685777e-09
2019.8653333333327,7.0411014044233285e-09,1.4183237953552288e-08,1.379879876339016e-09
2039.8639999999996,6.938066216141394e-09,1.4994669427281902e-08,1.331641955855887e-09
2059.862666666666,6.580527268885981e-09,1.8721787493340667e-08,1.4201801325623091e-09
2079.861333333333,1.2852615024088441e-08,6.768731140309171e-08,2.6025446658390486e-09
2099.8599999999997,3.919383913870374e-08,2.5214361081214064e-07,6.884587111643698e-09
2119.858666666666,1.1679055342505434e-08,5.4742907173859894e-08,2.355291176283344e-09
2139.857333333333,5.175668946682793e-09,1.076681576964757e-08,1.1900349530040727e-09
2159.8559999999993,5.486275977695933e-09,1.1941408091894608e-08,1.3329889870733587e-09
2179.854666666666,6.728784259957597e-09,1.8044303667176837e-08,1.2127109489192157e-09
2199.8533333333326,7.547843395552502e-09,1.8566611874753945e-08,1.2923743046215165e-09
2219.8519999999994,7.776947833166017e-09,1.852998703794094e-08,1.3476644219088857e-09
2239.8506666666663,6.991095922480755e-09,1.3759038336901563e-08,1.2265138419304002e-09
2259.8493333333327,5.909744053658634e-09,1.0112668495029483e-08,1.1956613888567594e-09
2279.8479999999995,6.129310176084048e-09,1.537675888028659e-08,1.390191948641453e-09
2299.846666666666,7.88536823418814e-09,2.5759194600131156e-08,1.5641730994578788e-09
2319.8453333333327,9.321029203723926e-09,3.476511949936778e-08,2.2243110962708077e-09
2339.8439999999996,5.890511773795283e-09,1.4727482632108867e-08,1.456401239619743e-09
2359.842666666666,5.629661042022042e-09,9.148085228826617e-09,1.1646872126254123e-09
2379.841333333333,6.0364058917538586e-09,8.158355132545183e-09,9.916822336812294e-10
2399.8399999999992,5.884682150661774e-09,9.10347164597498e-09,1.0109221248720861e-09
2419.838666666666,5.649490098808724e-09,1.0210009748652562e-08,1.1130976374839737e-09
2439.8373333333325,4.905101979389802e-09,8.358412345422782e-09,1.0339702949014138e-09
2459.8359999999993,4.50804753727072e-09,7.921664070391806e-09,9.972860160504382e-10
2479.834666666666,4.992663064606438e-09,8.91731397446658e-09,1.0511526405357039e-09
2499.8333333333326,5.19333913745509e-09,1.284333760068591e-08,1.1589104601912887e-09
2519.8319999999994,7.100584242521845e-09,2.173991908443728e-08,6.791031267956758e-09
2539.830666666666,6.634229386477582e-08,1.1047122942752745e-07,1.8377768226225707e-07
2559.8293333333327,5.4668198215238074e-08,9.684813777216887e-08,1.4279727107778786e-07
