pressure,t_x,t_y,t_z,std_t_x,std_t_y,std_t_z
0.016,27.61444393608231,29.50862115317687,90.56597606427597,5.811808470336505,6.215101591143059,19.177945291713232
0.175,18.46683185883795,23.576054758621332,119.13950270541704,3.886578008180673,4.965585317179295,25.228578809129633
0.00063,2.073336454568329,0.7224154943330283,3.2094322968913302,0.43635991268191515,0.1521551298256476,0.6796185742178298
0.014,6.880495766640419,4.711656380527562,25.556685710741604,1.4480872858023082,0.9923684671103954,5.70571307105615
0.0022,2.7079360868711833,0.9015004652735839, 9.346766888449395,0.5699194563199396,0.18987398048424753,1.9792398210716253
0.00012,1.2653757486466106,0.6267369165009311,2.5430423171154004,0.266314380588884,0.13200332131776354,0.5385060843331586
0.585,46.92151979825318,46.65498834468389,176.49318002178853,9.87522636123904,9.826466965588708,37.37359984503685
0.025,6.593150285781698,11.656153857896047,35.614835884174134,1.387611801327868,2.4550175162467394,7.541677405798733
0.00022,1.1922253562042637,0.6439884866043336,2.88689079982124,0.25091895680673065,0.13563684451032204,0.6113182778529769
0.004,3.1684712071656014,0.9325323359138227,10.194700723187077,0.6668448864038091,0.19640990799145436,2.1587954267013
0.074,7.3368419065833415,10.571989853784405,46.47103922821828,1.5441310927195337,2.226671050866457,9.840550367915757
0.01,5.278019575237531,3.4889051637493256,27.595201275883724,1.110825938501425,0.7348327826132938,6.560895483853635
1.4,133.5018872587694,126.63020234002585,284.5835098951785,28.09715787931087,26.670834948760927,60.26244309117455
0.16,15.031824207096031,19.406601503927604,122.74164678786452,3.163637276638143,4.0874156768052305,25.991356676187753
0.1,9.671081208385525,12.15606253694669,81.77697707557397,2.03540122646627,2.560308210117202,17.316816546323896
0.86,81.24625740909079,81.8838840890839,169.2576958767253,17.099300784413845,17.246371882603963,35.84143815198273
0.00086,2.1361815273104185,0.716736090912706,3.6101075335540966,0.44958645158057897,0.15095893464627239,0.7644642106439814
0.13,11.586308696136685,15.34816323114124,82.69658273515626,2.4384850333920367,3.232627995842063,17.511549135987828
0.22,19.031430777243504,22.386837276404552,117.67195513364406,4.005404979402358,4.715112503610741,24.91781589203326
8.6e-05,0.5808194241356532,0.548391796904134,3.6304627065345474,0.12224085872758454,0.11550228352752251,0.7687745541240237
0.019,10.36527434368496,10.438383409983,42.90780154429632,2.1815029371957824,2.5091621501501,9.086011189563772
0.063,6.622013863195446,8.85890003844219,58.21804552140926,1.3936865054222713,1.8658603221965901,12.328056752990967
0.295,23.93753676503836,25.298933625809806,117.92677283304543,5.037956930273604,5.328457814959827,24.971775227671788
0.685,63.97310376998523,62.33345614237696,188.312115634289,13.463947505763462,13.128663581221499,39.87633773710237
0.4,28.10097242494424,28.971418711413556,218.50425671310546,5.9142045334556155,6.101956091682259,46.26972358272612
0.00745,3.9292736896838787,1.707698875910592,11.580001009402025,0.8269653369857729,0.3596753725370536,2.4521419352429565
0.00046,1.307061938924887,0.7339042970498277,2.969011231238527,0.27508776572506816,0.15457489967860916,0.628707823047255
0.0012,1.8993679660887923,0.8024136457620223,5.213205911401548,0.39974604756615056,0.16900432876175733,1.1039309098775072
0.037,6.286507141816663,9.456562259525281,49.88148360934149,1.3230748798944525,1.9917398526166978,10.562734554114822
0.054,6.851046365142094,9.743093359737127,44.689846945623145,1.441889287312085,2.052088991347918,9.463371104238506
0.046,6.103394624622487,10.70136938357487,47.6720401755963,1.2845365385294565,2.253920948583513,10.09487027211044
1.2,102.70583638955564,98.21983664311098,289.2279098425508,21.615740134997644,20.687047842434204,61.24592554089215
0.022,6.640066443149434,10.214273596874799,24.222657539792625,1.3974858989882397,2.1513289046111237,5.129308190563803
0.0054,3.7284240925558074,1.3540220015066602,8.042710430745194,0.78469404185023,0.2851840004667271,1.703097227437832
0.46,34.89458900581145,36.14624136925097,194.02744851173918,7.3440069208936665,7.613116200209474,41.086597330476174
6.3e-05,0.5824835199281152,0.608929717765874,3.0623053390172186,0.12259108858664272,0.1282527714920875,0.6484634683770242
1.0,91.03801977933693,90.69458870598113,161.95539682315822,19.16010080853985,19.10208121236887,34.29512796176864
0.03,6.819621247355345,10.434331077464837,35.8085643159559,1.4352754746559284,2.1976773793361586,7.58270068554032
