power_z,freq_mean,freq_std
32.5,23555.716896407794,56154.973687203594
30.5,17738.33623764406,164514.1510920433
32.0,21667.712117005834,87725.71428239795
35.0,29368.672176095526,106113.62084409516
34.0,29354.091875026534,57582.89226345098
30.0,16728.89447176602,334678.37062194926
31.5,20670.910309771,101534.76613210278
33.0,26973.811585762123,31222.932522297862
34.5,27270.347219260464,66154.09170160262
31.0,19574.660091167294,2671673.804795143
33.5,29454.648009478988,36394.23245532882
